name,layer_index,layer_type,sub_type,proj_name,submodule_name,out_features,in_features,shape,params,params_M,priority
model.language_model.layers.18.linear_attn.in_proj_qkv,18,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.18.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.18.linear_attn.in_proj_z,18,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.18.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.18.linear_attn.out_proj,18,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.18.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.18.mlp.down_proj,18,linear_attention,FFN,down_proj,model.language_model.layers.18.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.18.mlp.gate_proj,18,linear_attention,FFN,gate_proj,model.language_model.layers.18.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.18.mlp.up_proj,18,linear_attention,FFN,up_proj,model.language_model.layers.18.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.19.mlp.down_proj,19,full_attention,FFN,down_proj,model.language_model.layers.19.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.19.mlp.gate_proj,19,full_attention,FFN,gate_proj,model.language_model.layers.19.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.19.mlp.up_proj,19,full_attention,FFN,up_proj,model.language_model.layers.19.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.19.self_attn.k_proj,19,full_attention,FullAttn,k_proj,model.language_model.layers.19.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.19.self_attn.o_proj,19,full_attention,FullAttn,o_proj,model.language_model.layers.19.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.19.self_attn.q_proj,19,full_attention,FullAttn,q_proj,model.language_model.layers.19.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.19.self_attn.v_proj,19,full_attention,FullAttn,v_proj,model.language_model.layers.19.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.20.linear_attn.in_proj_a,20,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.20.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.20.linear_attn.in_proj_b,20,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.20.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.20.linear_attn.in_proj_qkv,20,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.20.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.20.linear_attn.in_proj_z,20,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.20.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.20.linear_attn.out_proj,20,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.20.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.20.mlp.down_proj,20,linear_attention,FFN,down_proj,model.language_model.layers.20.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.20.mlp.gate_proj,20,linear_attention,FFN,gate_proj,model.language_model.layers.20.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.20.mlp.up_proj,20,linear_attention,FFN,up_proj,model.language_model.layers.20.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.21.linear_attn.in_proj_a,21,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.21.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.21.linear_attn.in_proj_b,21,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.21.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.21.linear_attn.in_proj_qkv,21,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.21.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.21.linear_attn.in_proj_z,21,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.21.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.21.linear_attn.out_proj,21,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.21.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.21.mlp.down_proj,21,linear_attention,FFN,down_proj,model.language_model.layers.21.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.21.mlp.gate_proj,21,linear_attention,FFN,gate_proj,model.language_model.layers.21.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.21.mlp.up_proj,21,linear_attention,FFN,up_proj,model.language_model.layers.21.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.22.linear_attn.in_proj_a,22,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.22.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.22.linear_attn.in_proj_b,22,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.22.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.22.linear_attn.in_proj_qkv,22,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.22.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.22.linear_attn.in_proj_z,22,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.22.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.22.linear_attn.out_proj,22,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.22.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.22.mlp.down_proj,22,linear_attention,FFN,down_proj,model.language_model.layers.22.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.22.mlp.gate_proj,22,linear_attention,FFN,gate_proj,model.language_model.layers.22.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.22.mlp.up_proj,22,linear_attention,FFN,up_proj,model.language_model.layers.22.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.23.mlp.down_proj,23,full_attention,FFN,down_proj,model.language_model.layers.23.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.23.mlp.gate_proj,23,full_attention,FFN,gate_proj,model.language_model.layers.23.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.23.mlp.up_proj,23,full_attention,FFN,up_proj,model.language_model.layers.23.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.23.self_attn.k_proj,23,full_attention,FullAttn,k_proj,model.language_model.layers.23.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.23.self_attn.o_proj,23,full_attention,FullAttn,o_proj,model.language_model.layers.23.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.23.self_attn.q_proj,23,full_attention,FullAttn,q_proj,model.language_model.layers.23.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.23.self_attn.v_proj,23,full_attention,FullAttn,v_proj,model.language_model.layers.23.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.24.linear_attn.in_proj_a,24,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.24.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.24.linear_attn.in_proj_b,24,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.24.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.24.linear_attn.in_proj_qkv,24,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.24.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.24.linear_attn.in_proj_z,24,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.24.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.24.linear_attn.out_proj,24,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.24.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.24.mlp.down_proj,24,linear_attention,FFN,down_proj,model.language_model.layers.24.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.24.mlp.gate_proj,24,linear_attention,FFN,gate_proj,model.language_model.layers.24.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.24.mlp.up_proj,24,linear_attention,FFN,up_proj,model.language_model.layers.24.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.25.linear_attn.in_proj_a,25,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.25.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.25.linear_attn.in_proj_b,25,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.25.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.25.linear_attn.in_proj_qkv,25,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.25.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.25.linear_attn.in_proj_z,25,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.25.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.25.linear_attn.out_proj,25,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.25.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.25.mlp.down_proj,25,linear_attention,FFN,down_proj,model.language_model.layers.25.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.25.mlp.gate_proj,25,linear_attention,FFN,gate_proj,model.language_model.layers.25.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.25.mlp.up_proj,25,linear_attention,FFN,up_proj,model.language_model.layers.25.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.26.linear_attn.in_proj_a,26,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.26.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.26.linear_attn.in_proj_b,26,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.26.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.26.linear_attn.in_proj_qkv,26,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.26.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.26.linear_attn.in_proj_z,26,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.26.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.26.linear_attn.out_proj,26,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.26.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.26.mlp.down_proj,26,linear_attention,FFN,down_proj,model.language_model.layers.26.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.26.mlp.gate_proj,26,linear_attention,FFN,gate_proj,model.language_model.layers.26.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.26.mlp.up_proj,26,linear_attention,FFN,up_proj,model.language_model.layers.26.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.27.mlp.down_proj,27,full_attention,FFN,down_proj,model.language_model.layers.27.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.27.mlp.gate_proj,27,full_attention,FFN,gate_proj,model.language_model.layers.27.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.27.mlp.up_proj,27,full_attention,FFN,up_proj,model.language_model.layers.27.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.27.self_attn.k_proj,27,full_attention,FullAttn,k_proj,model.language_model.layers.27.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.27.self_attn.o_proj,27,full_attention,FullAttn,o_proj,model.language_model.layers.27.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.27.self_attn.q_proj,27,full_attention,FullAttn,q_proj,model.language_model.layers.27.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.27.self_attn.v_proj,27,full_attention,FullAttn,v_proj,model.language_model.layers.27.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.28.linear_attn.in_proj_a,28,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.28.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.28.linear_attn.in_proj_b,28,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.28.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.28.linear_attn.in_proj_qkv,28,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.28.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.28.linear_attn.in_proj_z,28,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.28.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.28.linear_attn.out_proj,28,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.28.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.28.mlp.down_proj,28,linear_attention,FFN,down_proj,model.language_model.layers.28.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.28.mlp.gate_proj,28,linear_attention,FFN,gate_proj,model.language_model.layers.28.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.28.mlp.up_proj,28,linear_attention,FFN,up_proj,model.language_model.layers.28.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.29.linear_attn.in_proj_a,29,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.29.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.29.linear_attn.in_proj_b,29,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.29.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.29.linear_attn.in_proj_qkv,29,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.29.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.29.linear_attn.in_proj_z,29,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.29.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.29.linear_attn.out_proj,29,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.29.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.29.mlp.down_proj,29,linear_attention,FFN,down_proj,model.language_model.layers.29.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.29.mlp.gate_proj,29,linear_attention,FFN,gate_proj,model.language_model.layers.29.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.29.mlp.up_proj,29,linear_attention,FFN,up_proj,model.language_model.layers.29.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.30.linear_attn.in_proj_a,30,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.30.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.30.linear_attn.in_proj_b,30,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.30.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.30.linear_attn.in_proj_qkv,30,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.30.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.30.linear_attn.in_proj_z,30,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.30.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.30.linear_attn.out_proj,30,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.30.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.30.mlp.down_proj,30,linear_attention,FFN,down_proj,model.language_model.layers.30.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.30.mlp.gate_proj,30,linear_attention,FFN,gate_proj,model.language_model.layers.30.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.30.mlp.up_proj,30,linear_attention,FFN,up_proj,model.language_model.layers.30.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.31.mlp.down_proj,31,full_attention,FFN,down_proj,model.language_model.layers.31.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.31.mlp.gate_proj,31,full_attention,FFN,gate_proj,model.language_model.layers.31.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.31.mlp.up_proj,31,full_attention,FFN,up_proj,model.language_model.layers.31.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.31.self_attn.k_proj,31,full_attention,FullAttn,k_proj,model.language_model.layers.31.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.31.self_attn.o_proj,31,full_attention,FullAttn,o_proj,model.language_model.layers.31.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.31.self_attn.q_proj,31,full_attention,FullAttn,q_proj,model.language_model.layers.31.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.31.self_attn.v_proj,31,full_attention,FullAttn,v_proj,model.language_model.layers.31.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
